pl,sg,broad_category,category,synset
lights,light,noun.phenomenon,noun.phenomenon.physical_phenomenon,light.n.01
girls,girl,noun.person,noun.person.adult,girl.n.01
hearts,heart,noun.cognition,noun.cognition.idea,heart.n.01
arms,arm,noun.body,noun.body.external_body_part,arm.n.01
stands,stand,noun.artifact,noun.artifact.support,base.n.08
kisses,kiss,noun.act,noun.act.touch,kiss.n.01
words,word,noun.communication,noun.communication.language_unit,word.n.01
tears,tear,noun.body,noun.body,tear.n.01
eyes,eye,noun.body,noun.body.organ,eye.n.01
winners,winner,noun.person,noun.person.contestant,winner.n.01
boys,boy,noun.person,noun.person.male,male_child.n.01
guys,guy,noun.person,noun.person.adult,guy.n.01
members,member,noun.person,noun.person.peer,member.n.01
families,family,noun.group,noun.group.unit,family.n.01
moms,mom,noun.person,noun.person.relative,ma.n.01
sons,son,noun.person,noun.person.relative,son.n.01
accomplishments,accomplishment,noun.act,noun.act.accomplishment,accomplishment.n.01
games,game,noun.act,noun.act,game.n.01
medals,medal,noun.communication,noun.communication.signal,decoration.n.02
screams,scream,noun.communication,noun.communication.auditory_communication,scream.n.01
judges,judge,noun.person,noun.person.skilled_worker,judge.n.01
champions,champion,noun.person,noun.person.contestant,champion.n.01
lives,life,noun.state,noun.state.being,life.n.01
routines,routine,noun.act,noun.act.procedure,routine.n.01
parents,parent,noun.person,noun.person.relative,parent.n.01
matches,match,noun.artifact,noun.artifact,match.n.01
lands,land,noun.possession,noun.possession.property,land.n.01
events,event,noun.Tops,noun.Tops,event.n.01
pavilions,pavilion,noun.artifact,noun.artifact.shelter,pavilion.n.01
deals,deal,noun.act,noun.act.transaction,deal.n.01
favorites,favorite,noun.cognition,noun.cognition.process,favorite.n.01
breasts,breast,noun.body,noun.body.external_body_part,breast.n.01
cans,can,noun.artifact,noun.artifact,can.n.01
footsteps,footstep,noun.event,noun.event.sound,footfall.n.01
stars,star,noun.object,noun.object.celestial_body,star.n.01
kids,kid,noun.person,noun.person.juvenile,child.n.01
hands,hand,noun.body,noun.body.external_body_part,hand.n.01
folks,folk,noun.group,noun.group.people,folk.n.01
bars,bar,noun.artifact,noun.artifact.area,barroom.n.01
teammates,teammate,noun.person,noun.person.peer,teammate.n.01
memes,meme,noun.cognition,noun.cognition,meme.n.01
chairs,chair,noun.artifact,noun.artifact.furnishing,chair.n.01
shores,shore,noun.object,noun.object.geological_formation,shore.n.01
lines,line,noun.group,noun.group.arrangement,line.n.01
trees,tree,noun.plant,noun.plant,tree.n.01
adventures,adventure,noun.act,noun.act.work,adventure.n.01
monkeys,monkey,noun.animal,noun.animal.primate,monkey.n.01
nerves,nerve,noun.body,noun.body.tissue,nerve.n.01
harnesses,harness,noun.artifact,noun.artifact.support,harness.n.01
helmets,helmet,noun.artifact,noun.artifact.protective_covering,helmet.n.01
times,time,noun.event,noun.event,time.n.01
considerations,consideration,noun.cognition,noun.cognition.process,consideration.n.01
meters,meter,noun.quantity,noun.quantity.linear_unit,meter.n.01
factors,factor,noun.event,noun.event.beginning,factor.n.01
ones,one,noun.quantity,noun.quantity.number,one.n.01
swimmers,swimmer,noun.person,noun.person.contestant,swimmer.n.01
sacrifices,sacrifice,noun.act,noun.act,forfeit.n.03
dads,dad,noun.person,noun.person.relative,dad.n.01
vaccines,vaccine,noun.artifact,noun.artifact,vaccine.n.01
olds,old,noun.time,noun.time,old.n.01
effects,effect,noun.phenomenon,noun.phenomenon,consequence.n.01
chills,chill,noun.attribute,noun.attribute.physical_property,chill.n.01
risks,risk,noun.state,noun.state.danger,hazard.n.01
benefits,benefit,noun.possession,noun.possession.transferred_property,benefit.n.01
viewers,viewer,noun.person,noun.person.perceiver,spectator.n.01
moments,moment,noun.time,noun.time.point,moment.n.01
scores,score,noun.cognition,noun.cognition.process,mark.n.01
projects,project,noun.act,noun.act.work,undertaking.n.01
remarks,remark,noun.communication,noun.communication.statement,remark.n.01
adversaries,adversary,noun.person,noun.person,adversary.n.01
polls,poll,noun.cognition,noun.cognition.process,poll.n.01
voters,voter,noun.person,noun.person.national,voter.n.01
states,state,noun.location,noun.location.region,state.n.01
sights,sight,noun.cognition,noun.cognition.representation,sight.n.01
supporters,supporter,noun.person,noun.person.advocate,supporter.n.01
insults,insult,noun.communication,noun.communication.disrespect,abuse.n.02
results,result,noun.phenomenon,noun.phenomenon,consequence.n.01
delegates,delegate,noun.person,noun.person.communicator,delegate.n.01
