"case","word","IPA","number","lemma","lemma_english","gender","frequency","freq..per.million","noun.type","X"
"gen","aborcji","abɔrcji","sg","aborcja","abortion","f",226,0.04332,"common",""
"nom","absolwenci","absɔlvɛnci","pl","absolwent","graduate","m1",334,0.06403,"common",""
"nom","absolwent","absɔlvɛnt","sg","absolwent","graduate","m1",493,0.09451,"common",""
"inst","absolwentem","absɔlvɛntɛm","sg","absolwent","graduate","m1",149,0.02856,"common",""
"nom","absolwentka","absɔlvɛntka","sg","absolwentka","graduate","f",200,0.03834,"common",""
"gen","absolwentów","absɔlvɛntuv","pl","absolwent","graduate","m1",662,0.12691,"common",""
"nom","Adam","adam","sg","Adam","Adam","m1",1885,0.36136,"proper",""
"gen","Adama","adama","sg","Adam","Adam","m1",973,0.18653,"proper",""
"acc","Adama","adama","sg","Adam","Adam","m1",973,0.18653,"proper",""
"nom","adaptacja","adaptacja","sg","adaptacja","adaptation","f",164,0.03144,"common",""
"gen","adaptacji","adaptacji","sg","adaptacja","adaptation","f",283,0.05425,"common",""
"nom","admin","admin","sg","admin","admin","m1",279,0.05348,"common","E"
"nom","administracja","administracja","sg","administracja","administration","f",342,0.06556,"common",""
"gen","administracji","administracji","sg","administracja","administration","f",1792,0.34353,"common",""
"loc","administracji","administracji","sg","administracja","administration","f",1792,0.34353,"common",""
"nom","administrator","administratɔr","sg","administrator","administrator","m1",877,0.16812,"common",""
"acc","administratora","administratɔra","sg","administrator","administrator","m1",638,0.12231,"common",""
"gen","administratora","administratɔra","sg","administrator","administrator","m1",638,0.12231,"common",""
"inst","administratorem","administratɔrɛm","sg","administrator","administrator","m1",419,0.08032,"common",""
"acc","adres","adrɛs","sg","adres","address","m3",5016,0.96158,"common",""
"nom","adres","adrɛs","sg","adres","address","m3",5016,0.96158,"common",""
"inst","adresem","adrɛsɛm","sg","adres","address","m3",1203,0.23062,"common",""
"gen","adresów","adrɛsuv","pl","adres","address","m3",274,0.05253,"common",""
"gen","adresu","adrɛsu","sg","adres","address","m3",604,0.11579,"common",""
"nom","adresy","adrɛsɨ","pl","adres","address","m3",354,0.06786,"common",""
"acc","adresy","adrɛsɨ","pl","adres","address","m3",354,0.06786,"common",""
"nom","Adrian","adrian","sg","Adrian","Adrian","m1",327,0.06269,"proper",""
"nom","adwokat","advɔkat","sg","adwokat","advocate","m1",231,0.04428,"common",""
"loc","Afganistanie","afganistaniɛ","sg","Afganistan","Afghanistan","m3",157,0.0301,"proper",""
"loc","Afryce","afrɨcɛ","sg","Afryka","Africa","f",292,0.05598,"proper",""
"gen","Afryki","afrɨki","sg","Afryka","Africa","f",424,0.08128,"proper",""
"nom","Agata","agata","sg","Agata","Agata","f",422,0.0809,"proper",""
"nom","Age","agɛ","sg","Age","Age","m3",152,0.02914,"common","E"
"nom","agencja","agɛncja","sg","agencja","agency","f",1558,0.29867,"common",""
"inst","agencją","agɛncją","sg","agencja","agency","f",189,0.03623,"common",""
"nom","agencje","agɛncjɛ","pl","agencja","agency","f",215,0.04122,"common",""
"acc","agencję","agɛncjɛ","sg","agencja","agency","f",225,0.04313,"common",""
"gen","agencji","agɛncji","pl","agencja","agency","f",1410,0.2703,"common",""
"gen","agencji","agɛncji","sg","agencja","agency","f",1410,0.2703,"common",""
"nom","agent","agɛnt","sg","agent","agent","m1",188,0.03604,"common",""
"nom","Agnieszka","agniɛʃka","sg","Agnieszka","Agnes","f",1053,0.20186,"proper",""
"gen","Agnieszki","agniɛʃki","sg","Agnieszka","Agnes","f",321,0.06154,"proper",""
"gen","agresji","agrɛsji","sg","agresja","aggression","f",301,0.0577,"common",""
"nom","Air","air","sg","Air","Air","m3",413,0.07917,"proper","E"
"nom","akademia","akadɛmia","sg","akademia","academy","f",671,0.12863,"common",""
"acc","akademię","akadɛmiɛ","sg","akademia","academy","f",171,0.03278,"common",""
"gen","akademii","akadɛmii","sg","akademia","academy","f",1880,0.3604,"common",""
"loc","akademii","akadɛmii","sg","akademia","academy","f",1880,0.3604,"common",""
"inst","akcentem","akcɛntɛm","sg","akcent","accent","m3",175,0.03355,"common",""
"nom","akceptacja","akcɛptacja","sg","akceptacja","acceptance","f",147,0.02818,"common",""
"acc","akceptację","akcɛptacjɛ","sg","akceptacja","acceptance","f",216,0.04141,"common",""
"gen","akceptacji","akcɛptacji","sg","akceptacja","acceptance","f",365,0.06997,"common",""
"acc","akcesoria","akcɛsɔria","pl","akcesoria","accessories","p3",636,0.12192,"common",""
"gen","akcesoriów","akcɛsɔriuv","pl","akcesorium","accessory","n",468,0.08972,"common",""
